publication_id,score,compound,capped,total_hits_reported
WO-2025146488-A1,16.690918,Enfortumab_vedotin,False,501
US-20250135019-A1,16.65353,Enfortumab_vedotin,False,501
US-20250114354-A1,16.638226,Enfortumab_vedotin,False,501
CN-120294331-A,16.582603,Enfortumab_vedotin,False,501
US-20230071019-A1,16.566776,Enfortumab_vedotin,False,501
WO-2023091608-A2,16.509344,Enfortumab_vedotin,False,501
US-20240189341-A1,16.370358,Enfortumab_vedotin,False,501
TW-202530217-A,16.370358,Enfortumab_vedotin,False,501
AU-2025202617-A1,16.359972,Enfortumab_vedotin,False,501
WO-2025064869-A2,16.353077,Enfortumab_vedotin,False,501
WO-2025212536-A1,16.278513,Enfortumab_vedotin,False,501
WO-2021113740-A1,16.276846,Enfortumab_vedotin,False,501
EP-4069312-A1,16.276846,Enfortumab_vedotin,False,501
US-20230357436-A1,16.219412,Enfortumab_vedotin,False,501
WO-2025076347-A1,16.200642,Enfortumab_vedotin,False,501
CN-116981478-A,16.199509,Enfortumab_vedotin,False,501
US-20240307548-A1,16.195406,Enfortumab_vedotin,False,501
US-20220379026-A1,16.195406,Enfortumab_vedotin,False,501
WO-2025170634-A1,16.137255,Enfortumab_vedotin,False,501
US-20230321062-A1,16.136166,Enfortumab_vedotin,False,501
NZ-773109-B2,16.071419,Enfortumab_vedotin,False,501
NZ-773109-A,16.071419,Enfortumab_vedotin,False,501
AU-2023356118-A1,16.060535,Enfortumab_vedotin,False,501
WO-2025230581-A1,16.059574,Enfortumab_vedotin,False,501
WO-2025081075-A1,16.02898,Enfortumab_vedotin,False,501
WO-2025174812-A9,15.992712,Enfortumab_vedotin,False,501
WO-2025174812-A1,15.992712,Enfortumab_vedotin,False,501
US-20210386680-A1,15.961791,Enfortumab_vedotin,False,501
WO-2022047417-A1,15.946042,Enfortumab_vedotin,False,501
EP-4204004-A1,15.946042,Enfortumab_vedotin,False,501
US-20250297004-A1,15.935317,Enfortumab_vedotin,False,501
US-20240409538-A1,15.917305,Enfortumab_vedotin,False,501
AU-2022368823-A1,15.917305,Enfortumab_vedotin,False,501
WO-2024077297-A2,15.788457,Enfortumab_vedotin,False,501
EP-4598556-A2,15.788457,Enfortumab_vedotin,False,501
KR-20250114577-A,15.774606,Enfortumab_vedotin,False,501
KR-20200042461-A,15.774606,Enfortumab_vedotin,False,501
WO-2022098972-A1,15.745167,Enfortumab_vedotin,False,501
US-20230270877-A1,15.745167,Enfortumab_vedotin,False,501
EP-4240415-A1,15.745167,Enfortumab_vedotin,False,501
AU-2021376218-A1,15.745167,Enfortumab_vedotin,False,501
WO-2025019834-A2,15.676654,Enfortumab_vedotin,False,501
US-20240277624-A1,15.672661,Enfortumab_vedotin,False,501
US-20230263783-A1,15.672661,Enfortumab_vedotin,False,501
AU-2022288678-A1,15.672661,Enfortumab_vedotin,False,501
WO-2023066299-A1,15.646101,Enfortumab_vedotin,False,501
EP-4419522-A1,15.646101,Enfortumab_vedotin,False,501
US-20220152216-A1,15.565957,Enfortumab_vedotin,False,501
WO-2024059841-A2,15.562626,Enfortumab_vedotin,False,501
EP-4587819-A2,15.562626,Enfortumab_vedotin,False,501
AU-2023342302-A1,15.562626,Enfortumab_vedotin,False,501
WO-2025064744-A1,15.482282,Enfortumab_vedotin,False,501
WO-2023158514-A1,15.419723,Enfortumab_vedotin,False,501
EP-4479042-A1,15.419723,Enfortumab_vedotin,False,501
CA-3200974-A1,15.276351,Enfortumab_vedotin,False,501
US-20250387420-A1,15.248959,Enfortumab_vedotin,False,501
CN-117717565-A,15.248959,Enfortumab_vedotin,False,501
WO-2025021997-A1,15.216386,Enfortumab_vedotin,False,501
US-20220062372-A1,15.201563,Enfortumab_vedotin,False,501
WO-2022258985-A1,15.175972,Enfortumab_vedotin,False,501
WO-2021146436-A2,15.175972,Enfortumab_vedotin,False,501
EP-4351529-A1,15.175972,Enfortumab_vedotin,False,501
EP-4090674-A2,15.175972,Enfortumab_vedotin,False,501
CA-3220837-A1,15.175972,Enfortumab_vedotin,False,501
CA-3166509-A1,15.175972,Enfortumab_vedotin,False,501
AU-2021207652-A1,15.175972,Enfortumab_vedotin,False,501
WO-2025255180-A1,15.092298,Enfortumab_vedotin,False,501
CN-116583535-A,15.027253,Enfortumab_vedotin,False,501
WO-2025096061-A1,14.9923725,Enfortumab_vedotin,False,501
WO-2023069372-A1,14.972352,Enfortumab_vedotin,False,501
WO-2022051356-A1,14.972352,Enfortumab_vedotin,False,501
US-20240408047-A1,14.972352,Enfortumab_vedotin,False,501
EP-4419089-A1,14.972352,Enfortumab_vedotin,False,501
US-20240122847-A1,14.956267,Enfortumab_vedotin,False,501
WO-2025245470-A1,14.950167,Enfortumab_vedotin,False,501
WO-2024083237-A1,14.950167,Enfortumab_vedotin,False,501
AU-2023251563-A1,14.940919,Enfortumab_vedotin,False,501
WO-2024179547-A1,14.869075,Enfortumab_vedotin,False,501
WO-2022060831-A1,14.868172,Enfortumab_vedotin,False,501
EP-4213844-A1,14.868172,Enfortumab_vedotin,False,501
CN-117157098-A,14.846841,Enfortumab_vedotin,False,501
WO-2025054347-A1,14.797082,Enfortumab_vedotin,False,501
US-20180036285-A1,14.750967,Enfortumab_vedotin,False,501
CA-3235013-A1,14.750967,Enfortumab_vedotin,False,501
WO-2023227660-A1,14.714105,Enfortumab_vedotin,False,501
EP-4532020-A1,14.714105,Enfortumab_vedotin,False,501
AU-2023276860-A1,14.714105,Enfortumab_vedotin,False,501
WO-2021021062-A1,14.623783,Enfortumab_vedotin,False,501
EP-4003428-A1,14.623783,Enfortumab_vedotin,False,501
US-20240122860-A1,14.572079,Enfortumab_vedotin,False,501
EP-4344707-A1,14.566383,Enfortumab_vedotin,False,501
US-20240285787-A1,14.565543,Enfortumab_vedotin,False,501
TW-202519212-A,14.565543,Enfortumab_vedotin,False,501
CA-3245954-A1,14.495105,Enfortumab_vedotin,False,501
WO-2024231899-A1,14.44584,Enfortumab_vedotin,False,501
WO-2022268050-A1,14.4083395,Enfortumab_vedotin,False,501
IN-202447040406-A,14.354111,Enfortumab_vedotin,False,501
CA-3022351-A1,14.330115,Enfortumab_vedotin,False,501
BR-112024023424-A2,14.283521,Enfortumab_vedotin,False,501
WO-2025006704-A1,14.238251,Enfortumab_vedotin,False,501
AR-133135-A1,14.238251,Enfortumab_vedotin,False,501
US-10590182-B2,14.228504,Enfortumab_vedotin,False,501
CN-120957745-A,14.210986,Enfortumab_vedotin,False,501
US-20220016243-A1,14.19743,Enfortumab_vedotin,False,501
KR-102606022-B1,14.1863165,Enfortumab_vedotin,False,501
WO-2022261124-A1,14.152387,Enfortumab_vedotin,False,501
US-20250231192-A1,14.152387,Enfortumab_vedotin,False,501
EP-4351656-A1,14.152387,Enfortumab_vedotin,False,501
EP-4231017-A1,14.152387,Enfortumab_vedotin,False,501
US-20250009850-A1,14.14357,Enfortumab_vedotin,False,501
NZ-743923-B2,14.14357,Enfortumab_vedotin,False,501
NZ-743923-A,14.14357,Enfortumab_vedotin,False,501
WO-2025054530-A1,14.127386,Enfortumab_vedotin,False,501
WO-2025073290-A1,13.998783,Enfortumab_vedotin,False,501
AU-2023256670-A1,13.939394,Enfortumab_vedotin,False,501
WO-2016176089-A1,13.936156,Enfortumab_vedotin,False,501
WO-2020118136-A1,13.838617,Enfortumab_vedotin,False,501
CN-118987015-A,13.838617,Enfortumab_vedotin,False,501
WO-2025240789-A1,13.8089285,Enfortumab_vedotin,False,501
WO-2024199466-A1,13.8089285,Enfortumab_vedotin,False,501
TW-202440114-A,13.8089285,Enfortumab_vedotin,False,501
WO-2023156583-A1,13.765535,Enfortumab_vedotin,False,501
EP-4479751-A1,13.765535,Enfortumab_vedotin,False,501
CA-3243073-A1,13.765535,Enfortumab_vedotin,False,501
AR-133755-A1,13.746076,Enfortumab_vedotin,False,501
WO-2024191807-A1,13.74331,Enfortumab_vedotin,False,501
WO-2025101836-A1,13.615401,Enfortumab_vedotin,False,501
WO-2023205719-A1,13.552265,Enfortumab_vedotin,False,501
EP-4511127-A1,13.552265,Enfortumab_vedotin,False,501
US-20250042936-A1,13.504299,Enfortumab_vedotin,False,501
WO-2025248261-A1,13.489184,Enfortumab_vedotin,False,501
WO-2023133388-A2,13.489184,Enfortumab_vedotin,False,501
US-20250064956-A1,13.489184,Enfortumab_vedotin,False,501
EP-4460332-A2,13.489184,Enfortumab_vedotin,False,501
AU-2023205782-A1,13.489184,Enfortumab_vedotin,False,501
WO-2025064788-A2,13.476279,Enfortumab_vedotin,False,501
CN-110998328-A,13.434711,Enfortumab_vedotin,False,501
WO-2019108804-A1,13.388013,Enfortumab_vedotin,False,501
EP-3717023-A1,13.388013,Enfortumab_vedotin,False,501
EP-4424301-A1,13.368592,Enfortumab_vedotin,False,501
AU-2022376750-A1,13.368592,Enfortumab_vedotin,False,501
TW-202440158-A,13.360557,Enfortumab_vedotin,False,501
CN-116249559-A,13.33178,Enfortumab_vedotin,False,501
CR-20240451-A,13.189453,Enfortumab_vedotin,False,501
CA-3249472-A1,13.189453,Enfortumab_vedotin,False,501
TW-202411251-A,13.15062,Enfortumab_vedotin,False,501
WO-2025111339-A1,13.061298,Enfortumab_vedotin,False,501
TW-202430556-A,13.01705,Enfortumab_vedotin,False,501
US-20220249594-A1,12.955907,Enfortumab_vedotin,False,501
CA-3142960-A1,12.955907,Enfortumab_vedotin,False,501
WO-2023092155-A1,12.952885,Enfortumab_vedotin,False,501
CO-2024014194-A2,12.848736,Enfortumab_vedotin,False,501
WO-2021263205-A1,12.770433,Enfortumab_vedotin,False,501
TW-I834442-B,12.770433,Enfortumab_vedotin,False,501
IN-202327002190-A,12.770433,Enfortumab_vedotin,False,501
IL-298855-A,12.770433,Enfortumab_vedotin,False,501
EP-4171549-A1,12.770433,Enfortumab_vedotin,False,501
AU-2021297566-A1,12.770433,Enfortumab_vedotin,False,501
WO-2024079738-A1,12.70155,Enfortumab_vedotin,False,501
WO-2024079739-A1,12.686598,Enfortumab_vedotin,False,501
EP-4601623-A1,12.686598,Enfortumab_vedotin,False,501
JP-2024510933-A,12.665354,Enfortumab_vedotin,False,501
WO-2024243485-A1,12.599389,Enfortumab_vedotin,False,501
US-20180208636-A1,12.567665,Enfortumab_vedotin,False,501
TW-202506190-A,12.567665,Enfortumab_vedotin,False,501
WO-2024215754-A1,12.528155,Enfortumab_vedotin,False,501
AU-2024252725-A1,12.528155,Enfortumab_vedotin,False,501
WO-2024232948-A1,12.399908,Enfortumab_vedotin,False,501
IL-324321-A,12.399908,Enfortumab_vedotin,False,501
AU-2023447316-A1,12.399908,Enfortumab_vedotin,False,501
NZ-784102-B2,12.363415,Enfortumab_vedotin,False,501
NZ-784102-A,12.363415,Enfortumab_vedotin,False,501
ID-P202202205-A,12.363415,Enfortumab_vedotin,False,501
AU-2020301115-A1,12.363415,Enfortumab_vedotin,False,501
US-20230303305-A1,12.360697,Enfortumab_vedotin,False,501
CN-117043346-A,12.360697,Enfortumab_vedotin,False,501
MY-194127-A,12.225978,Enfortumab_vedotin,False,501
IL-260528-B2,12.225978,Enfortumab_vedotin,False,501
EP-3901258-A1,12.225978,Enfortumab_vedotin,False,501
AU-2017207281-B2,12.225978,Enfortumab_vedotin,False,501
AR-132408-A1,12.225978,Enfortumab_vedotin,False,501
CA-3185648-A1,12.179098,Enfortumab_vedotin,False,501
ID-P202305929-A,12.139638,Enfortumab_vedotin,False,501
WO-2023018722-A2,12.081795,Enfortumab_vedotin,False,501
US-20240343798-A1,12.081795,Enfortumab_vedotin,False,501
EP-4384551-A2,12.081795,Enfortumab_vedotin,False,501
AU-2022325756-A1,12.081795,Enfortumab_vedotin,False,501
WO-2025006720-A1,12.043572,Enfortumab_vedotin,False,501
AR-133133-A1,12.043572,Enfortumab_vedotin,False,501
WO-2022155587-A2,11.90713,Enfortumab_vedotin,False,501
WO-2022060955-A1,11.860855,Enfortumab_vedotin,False,501
US-20230330251-A1,11.860855,Enfortumab_vedotin,False,501
AU-2021344976-A1,11.860855,Enfortumab_vedotin,False,501
WO-2020258893-A1,11.831718,Enfortumab_vedotin,False,501
IN-202217001231-A,11.831718,Enfortumab_vedotin,False,501
EP-3986476-A1,11.831718,Enfortumab_vedotin,False,501
CA-3228575-A1,11.8043585,Enfortumab_vedotin,False,501
WO-2022026586-A1,11.800774,Enfortumab_vedotin,False,501
EP-4188996-A1,11.800774,Enfortumab_vedotin,False,501
TW-202333801-A,11.760599,Enfortumab_vedotin,False,501
WO-2022033419-A2,11.670835,Enfortumab_vedotin,False,501
WO-2017123556-A1,11.670835,Enfortumab_vedotin,False,501
US-20230303695-A1,11.670835,Enfortumab_vedotin,False,501
SG-10202112024P-A,11.670835,Enfortumab_vedotin,False,501
IL-300537-A,11.670835,Enfortumab_vedotin,False,501
EP-4192866-A2,11.670835,Enfortumab_vedotin,False,501
EP-3402494-A1,11.670835,Enfortumab_vedotin,False,501
CA-3188996-A1,11.670835,Enfortumab_vedotin,False,501
AU-2021325225-A1,11.670835,Enfortumab_vedotin,False,501
