publication_id,score,compound,capped,total_hits_reported
AU-2003286816-A1,10.506006,Cytarabine,True,19075
US-20150086521-A1,10.504139,Cytarabine,True,19075
CA-3216701-A1,10.500854,Cytarabine,True,19075
BR-112018011177-A2,10.500854,Cytarabine,True,19075
WO-2020068979-A1,10.493973,Cytarabine,True,19075
EP-3856198-A1,10.493973,Cytarabine,True,19075
CA-3114002-A1,10.493973,Cytarabine,True,19075
IN-2004KN01802-A,10.493792,Cytarabine,True,19075
WO-2013139906-A1,10.492066,Cytarabine,True,19075
EP-2827878-A1,10.492066,Cytarabine,True,19075
CA-2867662-A1,10.492066,Cytarabine,True,19075
AU-2013237419-A1,10.492066,Cytarabine,True,19075
CA-2715166-C,10.490437,Cytarabine,True,19075
WO-2008033466-A2,10.481937,Cytarabine,True,19075
US-20080161324-A1,10.481937,Cytarabine,True,19075
US-20030083316-A1,10.480952,Cytarabine,True,19075
WO-2019089594-A8,10.478342,Cytarabine,True,19075
US-20100298255-A1,10.476811,Cytarabine,True,19075
AU-2019350759-A1,10.476026,Cytarabine,True,19075
WO-2019200243-A1,10.472857,Cytarabine,True,19075
US-20230355753-A1,10.468719,Cytarabine,True,19075
AU-2021339006-A1,10.468719,Cytarabine,True,19075
MX-PA05004711-A,10.467999,Cytarabine,True,19075
SG-176571-A1,10.466585,Cytarabine,True,19075
AU-2010249593-A1,10.466585,Cytarabine,True,19075
DE-69330392-T2,10.466084,Cytarabine,True,19075
WO-2022053657-A1,10.465774,Cytarabine,True,19075
EP-4210744-A1,10.465774,Cytarabine,True,19075
CA-3192255-A1,10.465774,Cytarabine,True,19075
EP-2649997-A1,10.463066,Cytarabine,True,19075
US-20110008371-A1,10.460331,Cytarabine,True,19075
EP-1951046-B1,10.4569,Cytarabine,True,19075
WO-2010135468-A1,10.456383,Cytarabine,True,19075
EP-2433124-A1,10.456383,Cytarabine,True,19075
CA-2762783-A1,10.456383,Cytarabine,True,19075
EP-3858361-A1,10.455605,Cytarabine,True,19075
WO-2020191326-A1,10.451484,Cytarabine,True,19075
WO-2009075841-A2,10.45104,Cytarabine,True,19075
EP-2249831-A2,10.45104,Cytarabine,True,19075
EP-2755662-B1,10.448044,Cytarabine,True,19075
CA-3005076-C,10.44612,Cytarabine,True,19075
US-20170119809-A1,10.444722,Cytarabine,True,19075
CA-2708264-A1,10.442782,Cytarabine,True,19075
AU-2017201156-A1,10.442782,Cytarabine,True,19075
AU-2015200944-A1,10.442782,Cytarabine,True,19075
AU-2008335772-B2,10.442782,Cytarabine,True,19075
EP-1597365-B1,10.438986,Cytarabine,True,19075
AU-2012326370-C9,10.436095,Cytarabine,True,19075
AU-2012326370-C1,10.436095,Cytarabine,True,19075
CA-2817420-C,10.433969,Cytarabine,True,19075
EP-3384900-B1,10.433485,Cytarabine,True,19075
IN-2007KN01141-A,10.433119,Cytarabine,True,19075
US-20220125776-A1,10.432973,Cytarabine,True,19075
WO-2013135766-A1,10.430564,Cytarabine,True,19075
EP-2825177-A1,10.422251,Cytarabine,True,19075
US-20150005253-A1,10.421055,Cytarabine,True,19075
OA-17131-A,10.421055,Cytarabine,True,19075
IN-2014KN01938-A,10.421055,Cytarabine,True,19075
CA-2866993-A1,10.421055,Cytarabine,True,19075
AU-2013231227-A1,10.421055,Cytarabine,True,19075
WO-2009058394-A1,10.420258,Cytarabine,True,19075
EP-2211870-A1,10.420258,Cytarabine,True,19075
US-20210052619-A1,10.41707,Cytarabine,True,19075
HK-40078526-A,10.415125,Cytarabine,True,19075
US-20080199515-A1,10.414982,Cytarabine,True,19075
WO-2019073296-A1,10.4145775,Cytarabine,True,19075
AU-2008335772-A1,10.414498,Cytarabine,True,19075
EP-2638911-A1,10.4121685,Cytarabine,True,19075
MY-197785-A,10.41128,Cytarabine,True,19075
US-20160243124-A1,10.407784,Cytarabine,True,19075
US-20160082071-A1,10.407784,Cytarabine,True,19075
US-20120295864-A1,10.407784,Cytarabine,True,19075
US-10905692-B2,10.404749,Cytarabine,True,19075
WO-2008101214-A2,10.401472,Cytarabine,True,19075
EP-2120568-A2,10.401472,Cytarabine,True,19075
CA-2678332-A1,10.401472,Cytarabine,True,19075
AU-2008216083-A2,10.401472,Cytarabine,True,19075
US-10342817-B2,10.396093,Cytarabine,True,19075
US-20200368170-A1,10.393567,Cytarabine,True,19075
EP-2978439-B1,10.390529,Cytarabine,True,19075
AU-2011261501-B2,10.390134,Cytarabine,True,19075
US-20070149571-A1,10.387417,Cytarabine,True,19075
IL-311873-A,10.387417,Cytarabine,True,19075
EP-3858361-B1,10.385689,Cytarabine,True,19075
AU-2014240733-B2,10.380339,Cytarabine,True,19075
US-20070010466-A1,10.379322,Cytarabine,True,19075
US-11890296-B2,10.376784,Cytarabine,True,19075
TN-2014000382-A1,10.376784,Cytarabine,True,19075
US-12064445-B2,10.37649,Cytarabine,True,19075
US-11058701-B2,10.37649,Cytarabine,True,19075
AU-2004209579-B2,10.373602,Cytarabine,True,19075
US-20120077683-A1,10.37033,Cytarabine,True,19075
US-20090131351-A1,10.370157,Cytarabine,True,19075
CA-2926307-C,10.368747,Cytarabine,True,19075
WO-2007008490-A2,10.368652,Cytarabine,True,19075
EP-1898916-A2,10.368652,Cytarabine,True,19075
WO-2020067412-A1,10.368013,Cytarabine,True,19075
US-8747857-B2,10.367,Cytarabine,True,19075
MX-PA05004503-A,10.363211,Cytarabine,True,19075
EP-3452092-B1,10.361324,Cytarabine,True,19075
US-20110275590-A1,10.360619,Cytarabine,True,19075
IN-202111015135-A,10.35845,Cytarabine,True,19075
US-20190314357-A1,10.35612,Cytarabine,True,19075
RU-2008101019-A,10.355182,Cytarabine,True,19075
CA-2614324-A1,10.355182,Cytarabine,True,19075
US-20100311683-A1,10.3508625,Cytarabine,True,19075
WO-2013170176-A2,10.347263,Cytarabine,True,19075
US-20150301053-A1,10.347263,Cytarabine,True,19075
EP-2847592-A2,10.347263,Cytarabine,True,19075
US-20210213040-A1,10.3460865,Cytarabine,True,19075
US-20130102559-A1,10.345382,Cytarabine,True,19075
US-11110179-B2,10.343196,Cytarabine,True,19075
US-20250179589-A1,10.342218,Cytarabine,True,19075
US-20230374603-A1,10.342218,Cytarabine,True,19075
CA-2742252-A1,10.335894,Cytarabine,True,19075
WO-2021121446-A1,10.334803,Cytarabine,True,19075
WO-2023022976-A1,10.329894,Cytarabine,True,19075
WO-2005094282-B1,10.327476,Cytarabine,True,19075
US-20130244967-A1,10.325397,Cytarabine,True,19075
EP-2371392-A1,10.325229,Cytarabine,True,19075
US-11896614-B2,10.3235855,Cytarabine,True,19075
IN-201847021693-A,10.32252,Cytarabine,True,19075
WO-2018075408-A1,10.322039,Cytarabine,True,19075
US-11446321-B2,10.32181,Cytarabine,True,19075
EP-2120568-B1,10.321495,Cytarabine,True,19075
US-8822493-B2,10.320433,Cytarabine,True,19075
EP-2637663-B1,10.318623,Cytarabine,True,19075
US-9486471-B2,10.318451,Cytarabine,True,19075
WO-2019089854-A1,10.31777,Cytarabine,True,19075
US-7951788-B2,10.31777,Cytarabine,True,19075
IN-202241065572-A,10.310776,Cytarabine,True,19075
AU-2006269492-A1,10.30784,Cytarabine,True,19075
CA-2503730-C,10.307666,Cytarabine,True,19075
US-20190038559-A1,10.307604,Cytarabine,True,19075
EP-3744348-B1,10.306163,Cytarabine,True,19075
CA-3068096-C,10.306116,Cytarabine,True,19075
CA-3006954-A1,10.303961,Cytarabine,True,19075
AU-2008216083-A1,10.303837,Cytarabine,True,19075
SG-187991-A1,10.303817,Cytarabine,True,19075
US-20240252522-A1,10.300636,Cytarabine,True,19075
AU-2002245972-A1,10.300287,Cytarabine,True,19075
EP-3384900-A1,10.297577,Cytarabine,True,19075
HK-1188572-B,10.295113,Cytarabine,True,19075
IN-2008KN00492-A,10.293691,Cytarabine,True,19075
US-20110129550-A1,10.292353,Cytarabine,True,19075
US-11666549-B2,10.292353,Cytarabine,True,19075
US-20010027205-A1,10.292202,Cytarabine,True,19075
IL-259712-A,10.290045,Cytarabine,True,19075
US-20140194395-A1,10.289957,Cytarabine,True,19075
KR-20120031734-A,10.288465,Cytarabine,True,19075
CA-2778431-A1,10.287693,Cytarabine,True,19075
WO-2019178267-A2,10.287601,Cytarabine,True,19075
US-20150250775-A1,10.286931,Cytarabine,True,19075
US-20020028237-A1,10.28417,Cytarabine,True,19075
HK-1162926-B,10.283365,Cytarabine,True,19075
HK-1162926-A1,10.283365,Cytarabine,True,19075
EP-2371392-B1,10.283365,Cytarabine,True,19075
US-20090118205-A2,10.275327,Cytarabine,True,19075
HK-1067562-A1,10.273013,Cytarabine,True,19075
EP-1443933-B1,10.273013,Cytarabine,True,19075
US-8092828-B2,10.271119,Cytarabine,True,19075
IN-225411-B,10.271119,Cytarabine,True,19075
WO-2017023277-A1,10.270925,Cytarabine,True,19075
US-20180209959-A1,10.270925,Cytarabine,True,19075
EP-3328495-A1,10.270925,Cytarabine,True,19075
CA-2993158-A1,10.270925,Cytarabine,True,19075
US-20170266308-A1,10.270889,Cytarabine,True,19075
US-7968526-B2,10.27024,Cytarabine,True,19075
US-20100197766-A1,10.27024,Cytarabine,True,19075
WO-2011054103-A1,10.269176,Cytarabine,True,19075
EP-2498785-A1,10.269176,Cytarabine,True,19075
IN-202327004636-A,10.268726,Cytarabine,True,19075
HK-1137294-B,10.268726,Cytarabine,True,19075
HK-1137294-A,10.268726,Cytarabine,True,19075
WO-2008073317-A2,10.2683735,Cytarabine,True,19075
CA-3006954-C,10.26829,Cytarabine,True,19075
HK-1070825-B,10.267609,Cytarabine,True,19075
HK-1070825-A1,10.267609,Cytarabine,True,19075
EP-1507556-B1,10.267609,Cytarabine,True,19075
US-20210338704-A1,10.266084,Cytarabine,True,19075
WO-2017210621-A1,10.26204,Cytarabine,True,19075
US-20190134215-A1,10.26204,Cytarabine,True,19075
EP-3858361-A4,10.261412,Cytarabine,True,19075
WO-2013043529-A1,10.259963,Cytarabine,True,19075
US-20100119592-A1,10.257708,Cytarabine,True,19075
EP-1804816-B1,10.257214,Cytarabine,True,19075
HK-1253378-B,10.257183,Cytarabine,True,19075
HK-1253378-A1,10.257183,Cytarabine,True,19075
EP-3300601-B1,10.257183,Cytarabine,True,19075
US-20240100021-A1,10.255342,Cytarabine,True,19075
AU-2022211008-A1,10.255342,Cytarabine,True,19075
WO-2011113041-A2,10.2549925,Cytarabine,True,19075
US-20240366563-A1,10.2549925,Cytarabine,True,19075
WO-2002076472-A2,10.253689,Cytarabine,True,19075
EP-1370270-A2,10.253689,Cytarabine,True,19075
CA-2441568-A1,10.253689,Cytarabine,True,19075
CA-2678332-C,10.251556,Cytarabine,True,19075
EP-3173081-A1,10.251116,Cytarabine,True,19075
US-11219603-B2,10.245267,Cytarabine,True,19075
EP-3463463-A1,10.245132,Cytarabine,True,19075
US-20200276174-A1,10.2431135,Cytarabine,True,19075
WO-2021262881-A1,10.24268,Cytarabine,True,19075
EP-4171552-A1,10.24268,Cytarabine,True,19075
WO-2006030217-A2,10.242215,Cytarabine,True,19075
EP-1804838-A2,10.242215,Cytarabine,True,19075
US-20210393665-A1,10.24181,Cytarabine,True,19075
US-20100303895-A1,10.24181,Cytarabine,True,19075
IN-2008KN01960-A,10.24181,Cytarabine,True,19075
EP-4046640-A1,10.24181,Cytarabine,True,19075
WO-2022246244-A1,10.238916,Cytarabine,True,19075
EP-4341291-A1,10.238916,Cytarabine,True,19075
CA-3219832-A1,10.238916,Cytarabine,True,19075
US-20240262920-A1,10.233712,Cytarabine,True,19075
AU-2022276523-A1,10.233712,Cytarabine,True,19075
AU-2016364677-B2,10.2334175,Cytarabine,True,19075
AU-2004209579-A2,10.227526,Cytarabine,True,19075
HK-1067562-B,10.226929,Cytarabine,True,19075
WO-2022159497-A1,10.226603,Cytarabine,True,19075
EP-4281068-A1,10.226603,Cytarabine,True,19075
US-20090022814-A1,10.224969,Cytarabine,True,19075
AU-2016364677-A1,10.221601,Cytarabine,True,19075
AU-2022204373-B2,10.219313,Cytarabine,True,19075
AU-2022204373-A1,10.219313,Cytarabine,True,19075
NZ-586071-A,10.219258,Cytarabine,True,19075
AU-2020244921-B2,10.218521,Cytarabine,True,19075
ZA-200503252-B,10.218507,Cytarabine,True,19075
EP-2127652-B1,10.217531,Cytarabine,True,19075
HK-1215790-A1,10.213169,Cytarabine,True,19075
US-20180214560-A1,10.208991,Cytarabine,True,19075
EP-3641775-B1,10.206291,Cytarabine,True,19075
WO-2014083058-A1,10.2042265,Cytarabine,True,19075
EP-2925343-A1,10.2042265,Cytarabine,True,19075
US-20170368041-A1,10.203053,Cytarabine,True,19075
US-20220339274-A1,10.20278,Cytarabine,True,19075
HK-1215790-B,10.201635,Cytarabine,True,19075
US-20180311308-A1,10.1984415,Cytarabine,True,19075
US-20210379064-A1,10.193531,Cytarabine,True,19075
WO-2023089617-A1,10.18858,Cytarabine,True,19075
EP-4433487-A1,10.18858,Cytarabine,True,19075
US-20230285364-A1,10.186922,Cytarabine,True,19075
CA-2724550-C,10.186404,Cytarabine,True,19075
MX-2008000226-A,10.1858425,Cytarabine,True,19075
US-20180344801-A1,10.184081,Cytarabine,True,19075
AU-2018201697-B2,10.183811,Cytarabine,True,19075
WO-2008073317-A3,10.183683,Cytarabine,True,19075
WO-2024209267-A3,10.182657,Cytarabine,True,19075
WO-2020077300-A1,10.182526,Cytarabine,True,19075
US-20210379042-A1,10.182526,Cytarabine,True,19075
HK-1143732-A1,10.181355,Cytarabine,True,19075
EP-2177223-B9,10.181355,Cytarabine,True,19075
EP-2177223-B1,10.181355,Cytarabine,True,19075
CA-2848453-C,10.179752,Cytarabine,True,19075
WO-2007008490-A3,10.178815,Cytarabine,True,19075
US-8993278-B2,10.178665,Cytarabine,True,19075
WO-2018053232-A1,10.177787,Cytarabine,True,19075
EP-3512525-A1,10.177787,Cytarabine,True,19075
CA-3034637-A1,10.177787,Cytarabine,True,19075
EP-1898916-A4,10.176383,Cytarabine,True,19075
CA-3184024-A1,10.174866,Cytarabine,True,19075
WO-2017019559-A1,10.169728,Cytarabine,True,19075
US-20220354845-A1,10.169091,Cytarabine,True,19075
US-20220000880-A1,10.165649,Cytarabine,True,19075
AU-2014343214-B2,10.1646595,Cytarabine,True,19075
EP-1005326-B1,10.162635,Cytarabine,True,19075
AU-2016249005-B2,10.162044,Cytarabine,True,19075
US-20210008024-A1,10.161427,Cytarabine,True,19075
IL-271475-B2,10.160614,Cytarabine,True,19075
EP-1556393-B1,10.160487,Cytarabine,True,19075
AU-2018288520-B2,10.160362,Cytarabine,True,19075
CA-3239219-A1,10.159832,Cytarabine,True,19075
US-6987103-B2,10.157473,Cytarabine,True,19075
PH-12013501158-B1,10.157314,Cytarabine,True,19075
AU-2015246156-B2,10.157314,Cytarabine,True,19075
AU-2015246156-A1,10.157314,Cytarabine,True,19075
WO-2004050666-A1,10.156342,Cytarabine,True,19075
WO-2004094614-A2,10.156292,Cytarabine,True,19075
US-20050159351-A1,10.156292,Cytarabine,True,19075
US-20040253679-A1,10.156292,Cytarabine,True,19075
CA-2523260-A1,10.156292,Cytarabine,True,19075
WO-2020236612-A1,10.155924,Cytarabine,True,19075
US-20220218759-A1,10.155924,Cytarabine,True,19075
EP-3969018-A1,10.155924,Cytarabine,True,19075
CA-3138292-A1,10.155924,Cytarabine,True,19075
AU-2020279938-A1,10.155924,Cytarabine,True,19075
US-10253371-B2,10.155586,Cytarabine,True,19075
NZ-538428-A,10.15412,Cytarabine,True,19075
IN-2007KN01515-A,10.15412,Cytarabine,True,19075
US-12318434-B2,10.154016,Cytarabine,True,19075
US-8357690-B2,10.150397,Cytarabine,True,19075
IL-286600-B2,10.150141,Cytarabine,True,19075
IL-286600-B1,10.150141,Cytarabine,True,19075
WO-2023134707-A1,10.148436,Cytarabine,True,19075
WO-2021237270-A1,10.146234,Cytarabine,True,19075
US-20040192900-A1,10.14574,Cytarabine,True,19075
US-20040082764-A1,10.14574,Cytarabine,True,19075
US-20120225123-A1,10.145553,Cytarabine,True,19075
WO-2019136422-A1,10.145122,Cytarabine,True,19075
EP-3740235-A1,10.145122,Cytarabine,True,19075
US-9358233-B2,10.1413,Cytarabine,True,19075
AU-2016206882-A1,10.14011,Cytarabine,True,19075
AU-2022318982-B2,10.139387,Cytarabine,True,19075
MX-PA04010792-A,10.137717,Cytarabine,True,19075
US-20120149647-A1,10.137038,Cytarabine,True,19075
HK-1143732-B,10.136285,Cytarabine,True,19075
WO-2017011907-A1,10.135726,Cytarabine,True,19075
US-20180208990-A1,10.135726,Cytarabine,True,19075
EP-3325662-A1,10.135726,Cytarabine,True,19075
US-20040019036-A1,10.135006,Cytarabine,True,19075
EP-1443933-A2,10.135006,Cytarabine,True,19075
JP-2020183419-A,10.134192,Cytarabine,True,19075
US-11229664-B2,10.133695,Cytarabine,True,19075
EP-3300601-A1,10.133695,Cytarabine,True,19075
CA-2559650-C,10.133695,Cytarabine,True,19075
WO-2021035163-A1,10.131438,Cytarabine,True,19075
US-20160038456-A1,10.129339,Cytarabine,True,19075
EP-1620547-A2,10.127914,Cytarabine,True,19075
IN-2015MN02777-A,10.127139,Cytarabine,True,19075
CA-2906314-A1,10.127139,Cytarabine,True,19075
AU-2014240733-A1,10.127139,Cytarabine,True,19075
HK-1121680-A,10.123189,Cytarabine,True,19075
WO-2015057862-A1,10.122106,Cytarabine,True,19075
EP-3057977-A1,10.122106,Cytarabine,True,19075
EP-1556393-A2,10.119998,Cytarabine,True,19075
WO-2016110761-A1,10.119984,Cytarabine,True,19075
US-12071450-B2,10.119984,Cytarabine,True,19075
WO-2013037043-A1,10.118443,Cytarabine,True,19075
EP-2755662-A1,10.118443,Cytarabine,True,19075
WO-2021163466-A1,10.1179905,Cytarabine,True,19075
US-11793802-B2,10.1179905,Cytarabine,True,19075
US-20240307372-A1,10.117416,Cytarabine,True,19075
CA-2723816-C,10.117416,Cytarabine,True,19075
CA-2745005-C,10.116761,Cytarabine,True,19075
US-11566222-B2,10.116504,Cytarabine,True,19075
WO-2016115105-A1,10.114866,Cytarabine,True,19075
EP-3245301-A1,10.114866,Cytarabine,True,19075
WO-2011079501-A1,10.113087,Cytarabine,True,19075
WO-2014155376-A1,10.113028,Cytarabine,True,19075
WO-2003020252-A2,10.112663,Cytarabine,True,19075
EP-2177223-A2,10.112663,Cytarabine,True,19075
CA-2459822-A1,10.112663,Cytarabine,True,19075
CA-3087346-A1,10.112322,Cytarabine,True,19075
US-20150197526-A1,10.11099,Cytarabine,True,19075
US-20120171304-A1,10.110519,Cytarabine,True,19075
WO-2015082384-A1,10.109915,Cytarabine,True,19075
EP-3077004-A1,10.109915,Cytarabine,True,19075
US-20080103110-A1,10.108164,Cytarabine,True,19075
AU-2003286816-B2,10.108164,Cytarabine,True,19075
WO-2020092845-A1,10.108134,Cytarabine,True,19075
US-8962614-B2,10.107451,Cytarabine,True,19075
