family_id,leader_id,compound,title,family_countries,has_ES
83195348,US-20220287986-A1,Polatuzumab_vedotin,Intraarterial (IA) Application of Low Dose of Ethyl Alcohol Enables Blood-Brain Barrier (BBB) Impermeable Therapeutics Brain Entry,US,False
94733908,WO-2025165975-A1,Polatuzumab_vedotin,LITHIUM FOR USE IN THE TREATMENT OF ANTIBODY DRUG CONJUGATE (ADC)-INDUCED NEUROPATHY,WO,False
60913130,US-20190225607-A1,Polatuzumab_vedotin,Deuterated Venetoclax,EP;US;WO,False
96921719,WO-2025184499-A1,Polatuzumab_vedotin,METHODS AND MATERIALS FOR TREATING CANCER,WO,False
58103423,US-20170056504-A1,Polatuzumab_vedotin,METHOD OF EXTENDING HALF-LIFE OF CRYSTALINE ANTIBODIES,US,False
87849872,AU-2022229358-A1,Polatuzumab_vedotin,METHODS AND COMPOSITIONS FOR THE DELIVERY OF RETROVIRAL PARTICLES,AU;BR;CA;CN;CU;EP;HK;IL;IN;JP;KR;MX;RU;SG;TW;US;WO,False
63556360,AU-2018287514-B2,Polatuzumab_vedotin,Diagnosis and treatment of cancer,AU;CA;CN;EP;JP;KR;US;WO,False
81648414,US-20220333073-A1,Polatuzumab_vedotin,Compositions and Methods for Generating Gamma-Delta T Cells from Induced Pluripotent Stem Cells,AR;AU;BR;CA;CN;EP;HK;ID;IL;IN;JP;KR;MX;TW;US;WO,False
79023909,US-20210398607-A1,Polatuzumab_vedotin,METHODS FOR DESIGNING ANTIBODY SMALL-MOLECULE CONJUGATES,US,False
97064613,WO-2025194100-A1,Polatuzumab_vedotin,HUMANIZED SSTR2 MONOCLONAL ANTIBODY AND METHODS OF USE THEREOF,WO,False
58053261,US-20170035886-A1,Polatuzumab_vedotin,"AMPHIPHILIC DERIVATIVES OF TRIAZAMACROCYCLIC COMPOUNDS, PRODUCTS AND COMPOSITIONS INCLUDING SAME, AND SYNTHESIS METHODS AND USES THEREOF",US,False
89068489,WO-2025074343-A2,Polatuzumab_vedotin,PRODRUGS OF HUMAN DIHYDROOROTATE DEHYDROGENASE (hDHODH) INHIBITORS,AU;CA;CN;EP;IL;KR;WO,False
72520091,US-20230399671-A1,Polatuzumab_vedotin,"BETA-1,4 GALACTOSYLATION OF PROTEINS",CN;EP;GB;US;WO,False
87571394,EP-4506015-A1,Polatuzumab_vedotin,COMBINATION OF A MPS1 INHIBITOR AND AN ANTIBODY DRUG CONJUGATE,EP;WO,False
86576558,CN-116212026-A,Polatuzumab_vedotin,巨噬细胞封闭剂在制备ADC药物副反应治疗或预防产品中的用途,CN,False
92936067,US-12447107-B2,Polatuzumab_vedotin,Pharmaceutical container with pH protective layer deposited by atomic layer deposition,US,False
83932928,AU-2022270665-A1,Polatuzumab_vedotin,IONIC LIQUID FORMULATIONS FOR TREATING INFLAMMATORY AND AUTOIMMUNE DISEASES,AU;BR;CA;CN;EP;HK;IL;IN;JP;KR;MX;US;WO,False
-1,HK-40063153-A,Polatuzumab_vedotin,SAPONIN CONJUGATES,AU;BR;CA;CN;DK;EP;ES;HK;ID;IL;IN;JP;KR;MX;NZ;PT;RU;SG;US;WO,True
-1,IN-202421028899-A,Polatuzumab_vedotin,SYNTHESIS AND SCREENING OF NOVEL CANCER-TARGETING PEPTIDE LIGANDS,IN,False
76222124,US-20230071019-A1,Polatuzumab_vedotin,COMPOSITIONS AND METHODS FOR REDUCING OFF-TARGET TOXICITY OF ANTIBODY DRUG CONJUGATES,EP;US;WO,False
51587261,IL-249981-B,Polatuzumab_vedotin,Pharmaceutical compositions comprising agents which reduce fc receptor binding of serum igg molecules and uses thereof,AU;BR;CA;CL;CN;CO;DK;EA;EP;ES;FI;GB;HK;HR;IL;IN;JP;KR;LT;MX;MY;NZ;PL;PT;RS;SG;SI;US;WO,True
77365957,US-11933783-B2,Polatuzumab_vedotin,Liquid biopsy yield enhancement,AU;CA;EP;JP;US;WO,False
97267932,WO-2025212536-A1,Polatuzumab_vedotin,THERAPEUTIC ANTIBODY EPITOPE-TAGGED CAR T CELLS FOR ENHANCED CONTROL AND SAFETY,WO,False
83155559,US-20240307548-A1,Polatuzumab_vedotin,ENHANCED TARGETING USING ANTIBODY-OLIGONUCLEOTIDE CONJUGATES,CN;EP;JP;US;WO,False
58798103,EP-4606820-A2,Polatuzumab_vedotin,OPTIMIZED RATIOS OF AMINO ACIDS AND SUGARS AS AMORPHOUS STABILIZING COMPOUNDS IN PHARMACEUTICAL COMPOSITIONS CONTAINING HIGH CONCENTRATIONS OF PROTEIN-BASED THERAPEUTIC AGENTS,EP;JP;US;WO,False
96773974,WO-2025174812-A9,Polatuzumab_vedotin,CHIMERIC ANTIGEN RECEPTOR AND/OR SYNNOTCH RECEPTOR SYSTEMS AND CELLS AND METHODS OF THEIR USE,CA;CN;WO,False
65324521,US-20220031861-A1,Polatuzumab_vedotin,"COMBINATION THERAPY OF DIFFUSE LARGE B-CELL LYMPHOMA COMPRISING AN ANTI-CD79B IMMUNOCONJUGATES, AN ALKYLATING AGENT AND AN ANTI-CD20 ANTIBODY",AU;BR;CA;KR;MX;US;WO,False
