family_id,leader_id,compound,title,family_countries,has_ES
40535624,CA-2715166-C,Cytarabine,MONOCLONAL ANTIBODIES FOR TUMOR TREATMENT,AU;BR;CA;CN;DK;EP;ES;HK;HU;IL;IN;JP;MX;PL;PT;RU;US;WO,True
42342776,US-20100298255-A1,Cytarabine,Methods for providing personalized medicine test ex vivo for hematological neoplasms,AR;AU;BR;CA;CL;CN;DK;EP;ES;HK;IL;IN;JP;KR;MX;RU;SG;TW;US;WO,True
68161144,WO-2019200243-A1,Cytarabine,CYCLIN-DEPENDENT KINASE INHIBITORS IN COMBINATION WITH ANTHRACYCLINES FOR TREATMENT OF CANCER,US;WO,False
39184352,US-20080161324-A1,Cytarabine,Compositions and methods for treatment of viral diseases,AR;CL;TW;US;WO,False
40717006,EP-2649997-A1,Cytarabine,"(+)-1,4-dihydro-7-[(3s,4s)-3-methoxy-4-(methylamino)-1-pyrrolidinyl]-4-oxo-1-(2-thiazolyl)-1,8-naphthyridine-3-carboxylic acid for use in the treatment of antecedent hematologic disorders",AU;CA;EP;US;WO,False
37758501,EP-1951046-B1,Cytarabine,METHODS TO ENHANCE CHEMOTHERAPY,AU;BR;CA;CN;EP;HK;IL;IN;JP;MX;US;WO,False
69949803,EP-3858361-A1,Cytarabine,"ANTITUMOR AGENT CONTAINING CYTARABINE, ANTITUMOR EFFECT ENHANCER USED IN COMBINATION WITH CYTARABINE, ANTITUMOR KIT, AND ANTITUMOR AGENT USED IN COMBINATION WITH CYTARABINE",EP;JP;US;WO,False
72519370,WO-2020191326-A1,Cytarabine,TREATMENT OF ACUTE MYELOID LEUKEMIA (AML) WITH VENETOCLAX FAILURE,JP;US;WO,False
58695625,CA-3005076-C,Cytarabine,ASSAYS AND METHODS FOR SELECTING A TREATMENT REGIMEN FOR A SUBJECT WITH LEUKEMIA,AU;BR;CA;CN;CO;EP;HK;IL;IN;JP;KR;MX;MY;RU;SG;US;WO,False
58797465,EP-3384900-B1,Cytarabine,STABLE DOSAGE FORM OF ETIDRONATE-CYTARABINE CONJUGATE,AU;CA;CN;EP;IL;IN;RU;US;WO,False
32853883,EP-1597365-B1,Cytarabine,ANTISENSE OLIGONUCLEOTIDES DIRECTED TO RIBONUCLEOTIDE REDUCTASE R2 AND USES THEREOF IN THE TREATMENT OF CANCER,AU;CA;EP;JP;US;WO,False
44936282,CA-2817420-C,Cytarabine,COMBINATION THERAPY WITH AN ANTITUMOR ALKALOID,AU;BR;CA;CN;CY;DK;EP;ES;HK;HR;HU;IN;JP;KR;LT;ME;PL;PT;RS;RU;SI;SM;TR;US;WO,True
48141268,AU-2012326370-C1,Cytarabine,Lyophilized liposomes,AU;BR;CA;CN;DK;EP;ES;FR;HK;HR;HU;IL;IN;JP;KR;LU;NL;NO;PL;PT;RU;SI;US;WO,True
48040161,WO-2013135766-A1,Cytarabine,NOVEL COMBINATIONS FOR TREATING ACUTE MYELOID LEUKAEMIA OR CHRONIC MYELOID LEUKAEMIA,AU;CA;CL;CN;CO;CR;DO;EA;EP;HK;ID;IN;JP;KR;MA;MX;MY;OA;PH;SG;TN;US;VN;WO,False
40367738,WO-2009058394-A1,Cytarabine,CYTIDINE ANALOGS FOR TREATMENT OF MYELODYSPLASTIC SYNDROMES,CA;EP;JP;US;WO,False
66100507,WO-2019073296-A1,Cytarabine,LIPOSOMAL FORMULATIONS OF BISANTRENE OR DERIVATIVES OR ANALOGS THEREOF,WO,False
-1,HK-40078526-A,Cytarabine,METHODS AND REGIMENS FOR THE TREATMENT OF HEMATOLOGICAL CANCER,BR;CA;CN;EP;HK;IL;JP;KR;US;WO,False
50483415,US-20160082071-A1,Cytarabine,METHODS OF TREATING MYELOID LEUKEMIA,AU;BR;CA;CN;EP;ES;HK;IL;IN;JP;KR;MX;US;WO,True
65232284,US-20200368170-A1,Cytarabine,A LIPID NANOPARTICLE COMPOSITION AND A PHARMACEUTICAL COMPOSITION FOR TREATING A HEMATOPROLIFERATIVE DISORDER,US;WO,False
44534598,AU-2011261501-B2,Cytarabine,Methods of treating hematologic malignancies using 6-cyclohexyl-1-hydroxy-4-methyl-2(1H)-pyridone,AU;CA;CN;EP;HK;JP;MX;US;WO,False
39955980,US-20070010466-A1,Cytarabine,"Zosuquidar, daunorubicin, and cytarabine for the treatment of cancer",AU;CA;CN;EP;IN;JP;KR;MX;RU;US;WO,False
27807974,US-20070149571-A1,Cytarabine,Combination therapy for treating or managing acute myelocytic leukemia,AU;CA;EP;HK;JP;NZ;US;WO;ZA,False
52014047,CA-2926307-C,Cytarabine,NOVEL COMBINATION TREATMENT FOR ACUTE MYELOID LEUKEMIA (AML),AR;AU;BR;CA;CL;CN;CR;DK;EA;EP;ES;HK;HR;HU;ID;IL;IN;JP;KR;LT;MA;MX;MY;PE;PH;PL;PT;RS;SG;SI;TW;US;VN;WO;ZA,True
45871231,US-20120077683-A1,Cytarabine,KIT AND METHOD FOR PREDICTING CYTARABINE SENSITIVY OF PATIENT HAVING ACUTE MYELOID LEUKEMIA,KR;US,False
40642610,US-20090131351-A1,Cytarabine,"Methods, compositions, and kits for modulating tumor cell proliferation",US,False
60477980,US-11110179-B2,Cytarabine,Combination of CD33 antibody drug conjugates with chemotherapeutic agents,EP;TW;US;WO,False
34826214,US-20110275590-A1,Cytarabine,CONJUGATES FOR CANCER THERAPY AND DIAGNOSIS,EP;US;WO,False
55963276,EP-3452092-B1,Cytarabine,PHARMACEUTICAL COMPOSITIONS FOR THE TREATMENT OF CHEMORESISTANT ACUTE MYELOID LEUKEMIA (AML),EP;ES;US;WO,True
-1,IN-202111015135-A,Cytarabine,5.TITLEOFTHEINVENTION DISCOVEY OF DACLATASVIR FOR TREATING CORONAVIRIDAE FAMILY OF VIRUS&quot;,IN,False
49551473,US-20150301053-A1,Cytarabine,SURROGATE FUNCTIONAL DIAGNOSTICS TEST FOR CANCER,CN;EP;HK;JP;KR;US;WO,False
74494694,WO-2021121446-A1,Cytarabine,"COPOLYMER WITH HYDROLYTIC RELEASE OF CANCEROSTATIC AGENT CYTARABINE, METHOD OF ITS PREPARATION AND USE THEREOF",CZ;WO,False
85240950,WO-2023022976-A1,Cytarabine,PHARMACOGENOMICS SCORE TO MAKE DECISIONS ON THERAPY AUGMENTATION IN AML,US;WO,False
60269919,WO-2018075408-A1,Cytarabine,"METHODS OF TREATING ACUTE MYELOID LEUKEMIA (AML) WITH COMBINATIONS OF ANTI-CD200 ANTIBODIES, CYTARABINE, AND DAUNORUBICIN",WO,False
34993432,US-20130244967-A1,Cytarabine,SNS-595 AND METHODS OF USING THE SAME,AT;AU;BR;CA;CN;CY;DE;DK;EP;ES;HK;HU;IL;IN;JP;KR;MX;NO;NZ;PL;PT;SI;US;WO;ZA,True
55910367,US-11896614-B2,Cytarabine,Methods for improving the efficacy and expansion of chimeric antigen receptor-expressing cells,AU;CA;CN;EP;ES;JP;SG;US;WO,True
57799654,US-11446321-B2,Cytarabine,Combination therapy for treating cancer,EP;US;WO,False
66333353,WO-2019089854-A1,Cytarabine,METHODS AND COMPOSITIONS FOR TREATING ACUTE MYELOID LEUKEMIA,US;WO,False
38123377,US-7951788-B2,Cytarabine,Method of treating cancer and other conditions or disease states using L-cytosine nucleoside analogs,CN;EP;HK;US;WO,False
62631122,CA-3068096-C,Cytarabine,"COMBINATION OF A MCL-1 INHIBITOR AND A STANDARD OF CARE TREATMENT FOR HEMATOLOGIC CANCERS, USES AND PHARMACEUTICAL COMPOSITIONS THEREOF",AR;AU;BR;CA;CL;CN;CO;CU;EA;EP;ES;GE;HK;IL;IN;JO;JP;KR;MA;MX;MY;NI;PH;RU;SG;TW;UA;US;UY;VN;WO;ZA,True
-1,IN-202241065572-A,Cytarabine,A REVERSE PHASED - ULTRA PERFORMANCE LIQUID CHROMATOGRAPHY BASED METHOD FOR SIMULTANEOUS DETERMINATION OF DAUNORUBICIN AND CYTARIBINE,IN,False
45806930,US-20140194395-A1,Cytarabine,COMPOSITIONS AND METHODS FOR TREATING CENTRALLY MEDIATED NAUSEA AND VOMITING,US,False
44069083,US-20110129550-A1,Cytarabine,CANCER TREATMENT METHOD,US,False
51625178,US-11666549-B2,Cytarabine,Regulation of cancer using natural compounds and/or diet,AU;BR;CA;CN;EP;IN;JP;US;WO,False
65952119,WO-2019178267-A2,Cytarabine,INDUCTIVE REGENERATION OF THE AIRWAY BY TRANSCRIPTIONAL FACTOR MODULATION OF GLANDULAR MYOEPITHELIAL STEM CELLS,US;WO,False
26894369,US-20020028237-A1,Cytarabine,Method for reducing toxicity of a cytotoxic agent,US,False
43969528,CA-2778431-A1,Cytarabine,USE OF SYNERGISTIC COMBINATIONS OF AN AVERMECTIN AND AN ANTINEOPLASTIC COMPOUNDS FOR THE TREATMENT OF HEMATOLOGICAL MALIGNANCIES,CA;EP;US;WO,False
27044257,US-20010027205-A1,Cytarabine,Pharmaceutical composition for and method of treating leukemia,US,False
47914783,WO-2013043529-A1,Cytarabine,"BONE MORPHOGENETIC PROTEIN PATHWAY ACTIVATION, COMPOSITIONS FOR OSSIFICATION, AND METHODS RELATED THERETO",US;WO,False
39512276,WO-2008073317-A2,Cytarabine,CYTARABINE FOR TREATMENT OF GLIOMA,US;WO,False
57943954,EP-3328495-A1,Cytarabine,METHODS AND COMPOSITIONS FOR CHARACTERIZATION OF GLIOBLASTOMA MULTIFORME TUMORS AND CANCER STEM CELLS,CA;EP;US;WO,False
23231501,EP-1443933-B1,Cytarabine,"TREATMENT OF CHRONIC MYELOGENOUS LEUKEMIA, RESISTANT OR INTOLERANT TO STI571, INVOLVING HOMOHARRINGTONINE ALONE OR COMBINED WITH OTHER AGENTS",AT;AU;CA;CY;DE;DK;EP;ES;HK;JP;PT;WO,True
-1,IN-202327004636-A,Cytarabine,USE OF A DHODH INHIBITOR COMPOUND IN COMBINATION CANCER THERAPY,BR;CA;CN;EP;HK;IN;JP;KR;MY;US;WO,False
55350214,US-20170266308-A1,Cytarabine,SMALL MOLECULE CONJUGATES SPECIFICALLY ACTIVATED IN TUMOR MICROENVIROMENT FOR TARGETING AND USE THEREOF,AU;CA;CN;EP;HK;JP;US;WO,False
82549028,AU-2022211008-A1,Cytarabine,COMBINATION THERAPY SCHEDULES TO TREAT CANCER,AU;EP;IL;JP;KR;US;WO,False
54754527,EP-3173081-A1,Cytarabine,DESETHYLAMIODARONE FOR USE IN CANCER TREATMENT,EP;US,False
44564179,WO-2011113041-A2,Cytarabine,NEUTRALIZATION OF FLT3 LIGAND AS A LEUKEMIA THERAPY,US;WO,False
68769443,US-20240366563-A1,Cytarabine,METHODS OF TREATING MALIGNANT LYMPHOPROLIFERATIVE DISORDERS,AU;BR;CA;CN;EP;IL;IN;JP;KR;MO;MX;US;WO,False
82258425,EP-4341291-A1,Cytarabine,DOSING REGIMENS FOR PROTEIN THERAPEUTICS,AU;CA;CN;EP;JP;KR;US;WO,False
35809800,WO-2006030217-A2,Cytarabine,DRUG CONJUGATES OF LONG CHAIN FATTY ACID OR ESTER MOIETIES AS PROTEIN BINDING PRODRUGS,EP;US;WO,False
39588607,EP-2127652-B1,Cytarabine,METHOD FOR TREATING CANCER USING ANTICANCER AGENT IN COMBINATION,CA;DK;EP;ES;JP;PL;PT;US;WO,True
70293030,AU-2020244921-B2,Cytarabine,Antitumor composition,AU;BR;CA;CN;EA;EP;HK;ID;IL;IN;JP;KR;MO;MX;MY;PH;SG;TW;US;VN;WO,False
47325907,EP-2925343-A1,Cytarabine,COMBINATION THERAPY WITH VOLASERTIB,AU;BR;CA;CL;CN;EA;EP;IL;IN;JP;KR;MX;PH;US;WO,False
57885190,US-20180214560-A1,Cytarabine,HPMA-DRUG CONJUGATES FOR THE TREATMENT OF ACUTE MYELOID LEUKEMIA,US;WO,False
75167092,US-20220339274-A1,Cytarabine,BIOMATERIAL-BASED ANTIGEN FREE VACCINE AND THE USE THEREOF,EP;JP;US;WO,False
41683427,US-20210379064-A1,Cytarabine,"AXL INHIBITORS FOR USE IN COMBINATION THERAPY FOR PREVENTING, TREATING OR MANAGING METASTATIC CANCER",AU;BR;CA;CN;EP;ES;HK;IN;JP;PL;PT;RU;SG;US;WO,True
57395727,AU-2018201697-B2,Cytarabine,TREATMENT OF MYELOSUPPRESSION,AU;BR;CA;CL;CN;DK;EA;EP;ES;HK;HU;IL;IN;JP;KR;LT;MX;PL;PT;SG;US;WO,True
86396351,WO-2023089617-A1,Cytarabine,CYTARABINE-AMINO ACID BASED PRODRUG FOR THE TREATMENT OF CANCER,AU;BR;CA;CN;EP;IL;IN;JP;KR;WO,False
68655688,US-20220000880-A1,Cytarabine,METHOD AND COMPOSITION EMBODIMENTS FOR TREATING ACUTE MYELOID LEUKEMIA,US;WO,False
41340927,CA-2724550-C,Cytarabine,COMBINATION ANTITUMOR THERAPY,CA;EP;ES;HK;US;WO,True
70164361,US-20210379042-A1,Cytarabine,METHODS FOR MONITORING TUMOR LYSIS SYNDROME,US;WO,False
73458649,US-20220218759-A1,Cytarabine,COMPOSITIONS AND METHODS FOR IMPROVING TREATMENT OUTCOMES FOR PATIENTS HAVING HEMATOLOGICAL MALIGNANCIES USING AN EXPANDED STEM CELL PRODUCT,AU;CA;CN;EP;IL;JP;KR;MX;US;WO,False
74659736,US-20220354845-A1,Cytarabine,METHODS FOR ENHANCING DNA DAMAGE AND APOPTOSIS OF LEUKEMIC CELLS,US;WO,False
61619722,EP-3512525-A1,Cytarabine,COMBINATION THERAPY WITH LIPOSOMAL ANTISENSE OLIGONUCLEOTIDES,AU;BR;CA;CN;EA;EP;ES;HK;JP;KR;MX;SG;US;WO;ZA,True
51945973,AU-2014343214-B2,Cytarabine,Methods of treating acute myeloid leukemia with a FLT3 mutation,AU;CA;CN;EP;ES;HK;JP;US;WO,True
67144318,WO-2019136422-A1,Cytarabine,COMBINATION IMMUNOTHERAPY AND CHEMOTHERAPY FOR THE TREATMENT OF A HEMATOLOGICAL MALIGNANCY,CA;EP;JP;US;WO,False
9948795,WO-2004050666-A1,Cytarabine,SILICON COMPOUNDS USEFUL IN CANCER THERAPY,AU;GB;WO,False
61241811,US-10253371-B2,Cytarabine,Method of treating leukemia based on gene expression of clock genes,US,False
24906863,EP-1005326-B1,Cytarabine,METHOD FOR PRODUCING LIPOSOMES WITH INCREASED PERCENT OF COMPOUND ENCAPSULATED,AU;CA;EP;IL;JP;NO;NZ;US;WO,False
31495746,NZ-538428-A,Cytarabine,Use of alkylphosphocholines in combination with antitumor medicaments,AR;AT;AU;BR;BY;CA;CN;CY;DK;EP;ES;HK;HR;IL;IN;JP;KR;MX;NO;NZ;PL;PT;RU;SI;TW;UA;US;WO;ZA,True
42739984,US-20120149647-A1,Cytarabine,Methods for Assessing the Efficacy of Gemcitabine or Ara-C Treatment of Cancer Using Human Antigen R Levels,US;WO,False
35465368,WO-2004094614-A2,Cytarabine,STABILIZED APTAMERS TO PLATELET DERIVED GROWTH FACTOR AND THEIR USE AS ONCOLOGY THERAPEUTICS,AU;CA;DK;EP;ES;HK;JP;WO,True
73050865,US-12318434-B2,Cytarabine,Alkaline phosphate-based oncology treatments,AU;CA;CN;EP;JP;KR;US;WO,False
78745667,WO-2021237270-A1,Cytarabine,METHOD OF TREATING LEUKAEMIA,AU;WO,False
56406281,AU-2016206882-A1,Cytarabine,Context dependent diagnostics test for guiding cancer treatment,AU;CA;CN;EP;HK;JP;KR;US;WO,False
87089671,WO-2023134707-A1,Cytarabine,METHODS FOR TREATING AML-MRC AND MDS,CN;US;WO,False
57833648,EP-3325662-A1,Cytarabine,EPIGENETIC SILENCING OF NMT2,DK;EP;ES;JP;PL;US;WO,True
92715097,US-20240307372-A1,Cytarabine,"COMPOSITIONS AND METHODS TO IMPROVE BENEFIT OF SUBOPTIMALLY ADMINISTERED THERAPEUCTICS FOR THE TREATMENT OF BENIGN AND NEOPLASTIC DISEASES, INFECTIONS, INFLAMMATORY, METABOLIC AND IMMUNOLOGIAL DISEASE",US,False
41319210,CA-2723816-C,Cytarabine,CHIMERIC SMALL MOLECULES FOR THE RECRUITMENT OF ANTIBODIES TO CANCER CELLS,CA;CY;DK;EP;ES;HR;HU;JP;PL;PT;RS;SI;US;WO,True
85086087,AU-2022318982-B2,Cytarabine,PHARMACEUTICAL COMPOSITION FOR TREATMENT OF PANCREATIC CANCER AND BILE DUCT CANCER,AU;CN;EP;IN;JP;US;WO,False
52828661,WO-2015057862-A1,Cytarabine,METHODS AND COMPOSITIONS FOR ERADICATING LEUKEMIC CELLS,EP;JP;WO,False
40627502,CA-2745005-C,Cytarabine,ANTITUMOR COMBINATIONS CONTAINING ANTIBODIES RECOGNIZING SPECIFICALLY CD38 AND CYTARABINE,AR;AU;BR;CA;CL;CN;CO;CR;DK;EA;EC;EP;ES;HK;HN;HR;HU;ID;IL;IN;JP;KR;LT;MA;MX;MY;NI;NZ;PA;PE;PL;PT;PY;RS;SG;SI;SM;TN;TW;UA;US;UY;VN;WO;ZA,True
77291677,WO-2021163466-A1,Cytarabine,USES OF HYPOXIA-INDUCIBLE FACTOR INHIBTORS FOR TREATING TP53-MUTATED ACUTE MYELOID LEUKEMIA,US;WO,False
-1,HK-1121680-A,Cytarabine,NANOPARTICLE / ACTIVE INGREDIENT CONJUGATE,AU;BR;CA;CN;DE;DK;EP;ES;HK;IL;IN;JP;KR;MX;NZ;RU;US;WO;ZA,True
83280646,WO-2016110761-A1,Cytarabine,"PROCESS FOR PRODUCING 1-β-D-ARABINOFURANOSYLCYTOSINE AND 2,2&apos;-O-CYCLOCYTIDINE",WO,False
44214424,WO-2011079501-A1,Cytarabine,PRODRUG BASED ON CYTARABINE STRUCTURE AS WELL AS SYNTHESIZING METHOD AND APPLICATION THEREOF,CN;WO,False
