family_id,leader_id,compound,title,family_countries,has_ES
68296746,US-20200102399-A1,Brentuximab_vedotin,Methods of Treating Peripheral T Cell Lymphoma Using Anti-CD30 Antibody Drug Conjugate Therapy,AU;CA;CN;EP;HK;IL;JP;KR;MX;SG;US;WO,False
54834541,US-10758526-B2,Brentuximab_vedotin,Combination therapies using agents that target tumor-associated stroma or tumor cells and other pathways,US;WO,False
94282497,WO-2025019334-A2,Brentuximab_vedotin,ANTIBODY-DRUG CONJUGATES AND LINKERS AND METHODS OF USE THEREOF,CA;CN;EP;IL;IN;JP;KR;US;WO,False
48948166,US-11366118-B2,Brentuximab_vedotin,Detection and treatment of CD30+ cancers,AU;CA;CN;EP;ES;HK;JP;US;WO,True
59631857,US-12304935-B2,Brentuximab_vedotin,Immunomodulatory polypeptides and related compositions and methods,AU;CA;CN;EP;ES;HK;JP;MA;MX;US;WO,True
92675718,WO-2024187122-A2,Brentuximab_vedotin,COMPOSITIONS AND SYSTEMS FOR COMBINATORIAL THERAPIES CONTAINING FUCOSYLATED STEM CELLS AND HEMATOPOIETIC ENHANCERS AND/OR IMMUNOTHERAPEUTICS AND METHODS OF PRODUCTION AND USE THEREOF,CA;EP;JP;WO,False
94733908,WO-2025165975-A1,Brentuximab_vedotin,LITHIUM FOR USE IN THE TREATMENT OF ANTIBODY DRUG CONJUGATE (ADC)-INDUCED NEUROPATHY,WO,False
62196678,EP-4080209-B1,Brentuximab_vedotin,METHOD OF DETERMINING TOXICITY OF AN IMMUNOMODULATORY DRUG FOR USE IN HUMANS,AU;CA;CN;DK;EP;ES;FI;HK;JP;US;WO,True
70055714,US-20210346319-A1,Brentuximab_vedotin,Pharmaceutical Compositions of R-(+)-Propranolol in Enantiomeric Excess and Therapeutic Uses Related Thereto,US;WO,False
62790985,US-20240109952-A1,Brentuximab_vedotin,SIRPalpha-41BBL FUSION PROTEIN AND METHODS OF USE THEREOF,AU;CA;CN;DK;EP;ES;HK;HR;HU;IL;IN;JP;KR;PL;PT;RU;SI;US;WO,True
54783608,DE-102014226903-A1,Brentuximab_vedotin,"HF-Hilfsstoff, medizinisches System und Verfahren zum selektiven Behandeln von Krebsgewebe",DE;WO,False
94768412,EP-4606389-A1,Brentuximab_vedotin,"UNIQUE PEGYLATED GRANULOCYTE COLONY STIMULATING FACTOR, METHODS OF USE AND PREPARATION THEREOF",EP;HK;TW;US,False
88415997,US-20230340499-A1,Brentuximab_vedotin,"CONSTRUCTS, COMPOSITIONS, CELLS AND METHODS FOR INCREASED RECOMBINANT PROTEIN EXPRESSION BY TARGETED INTEGRATION AND AMPLIFICATION",CA;EP;US;WO,False
54366875,US-10022451-B2,Brentuximab_vedotin,Encapsulated agents and methods of making and using thereof,US,False
66332404,US-11400165-B2,Brentuximab_vedotin,Composition and method for modifying polypeptides,EP;JP;US;WO,False
51621074,CA-2902144-C,Brentuximab_vedotin,METHODS AND COMPOSITIONS FOR TREATING CANCERS HAVING ACQUIRED RESISTANCE TO PRIOR CHEMOTHERAPEUTIC AND TARGETED DRUGS USING CARBOXYAMIDOTRIAZOLE OROTATE,AU;CA;CN;EP;HK;IL;IN;JP;KR;US;WO;ZA,False
61132568,EP-3703718-B1,Brentuximab_vedotin,"LIPOSOMAL FORMULATION OF BACTERIAL LIPOPOLYSACCHARIDE COMBINED WITH A CYTOTOXIC AGENT, AND ITS USE AS ANTI-TUMOR AGENT",CN;EP;FR;JP;US;WO,False
75908433,US-20210145806-A1,Brentuximab_vedotin,Methods of Treating Brain Cancer and Related Diagnostic Methods,US,False
68983509,SG-11202011503Y-A,Brentuximab_vedotin,BIFUNCTIONAL COMPOSITIONS FOR THE TREATMENT OF CANCER,AU;BR;CA;CL;CN;EP;GB;IL;IN;JP;MX;MY;PH;RU;SG;TH;US;WO,False
72915898,WO-2021062122-A1,Brentuximab_vedotin,"COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPOIETIC CANCERS",AU;CA;CN;EP;HK;IL;JP;KR;MX;US;WO,False
57983500,EP-3331902-B1,Brentuximab_vedotin,CONSTRUCTS HAVING A SIRP-ALPHA DOMAIN OR VARIANT THEREOF,AU;BR;CA;CL;CN;CO;CY;DK;EP;ES;GE;HK;HR;HU;ID;IL;IN;JP;KR;LT;MO;MX;MY;NZ;PE;PH;PL;PT;RS;RU;SA;SG;SI;SM;TH;UA;US;VN;WO;ZA,True
58668412,EP-3375440-B1,Brentuximab_vedotin,METHOD FOR TREATING MUCOSITIS,AU;CA;CN;EP;ES;IN;JP;KR;US;WO,True
67874498,US-20240352526-A1,Brentuximab_vedotin,METHODS FOR ASSESSING RISK OF DEVELOPING A VIRAL DISEASE USING A GENETIC TEST,AU;CA;DE;DK;EP;ES;FI;HK;HR;SI;US;WO;ZA,True
