family_id,leader_id,compound,title,family_countries,has_ES
67263042,WO-2019241563-A1,Omega3_carboxylic_acid,METHODS FOR LOWERING TRIGLYCERIDE LEVELS WITH A CONCENTRATED FISH OIL-BASED PHARMACEUTICAL COMPOSITION,US;WO,False
72611766,WO-2020198063-A1,Omega3_carboxylic_acid,ADMINISTRATION OF EICOSAPENTAENOIC ACID AND ITS DERIVATIVES TO CORRECT THE SUSCEPTIBILITY OF APOB-LIPOPROTEINS AGGREGATION,WO,False
-1,HK-40006091-A,Omega3_carboxylic_acid,METHOD OF TREATING LIVER FIBROSIS,AU;BR;CA;CN;EP;ES;HK;IL;JP;KR;MX;NZ;RU;SG;US;WO;ZA,True
56356482,EP-3597271-A1,Omega3_carboxylic_acid,ACC INHIBITOR COMBINATION THERAPY FOR THE TREATMENT OF NON-ALCOHOLIC FATTY LIVER DISEASE,AU;BR;CA;CN;EA;EP;HK;JP;KR;MX;SG;US;WO,False
