Institution,Year,Simplefamily_count
Universidad de Huelva,2007,9
Universidad de Huelva,2008,7
Universidad de Huelva,2009,9
Universidad de Huelva,2010,9
Universidad de Huelva,2011,16
Universidad de Huelva,2012,19
Universidad de Huelva,2013,16
Universidad de Huelva,2014,11
Universidad de Huelva,2015,16
Universidad de Huelva,2016,17
Universidad de Huelva,2017,12
Universidad de Huelva,2018,14
Universidad de Huelva,2019,8
Universidad de Huelva,2020,13
Universidad de Huelva,2021,12
Universidad de Huelva,2022,5
Universidad de Huelva,2023,6
Universidad de Huelva,2024,9
Universidad de Huelva,2025,13
Universidad de Huelva,2026,3
Universidad de Almeria,1997,1
Universidad de Almeria,1998,1
Universidad de Almeria,1999,1
Universidad de Almeria,2000,1
Universidad de Almeria,2001,4
Universidad de Almeria,2002,2
Universidad de Almeria,2003,5
Universidad de Almeria,2004,4
Universidad de Almeria,2005,9
Universidad de Almeria,2006,9
Universidad de Almeria,2007,7
Universidad de Almeria,2008,10
Universidad de Almeria,2009,15
Universidad de Almeria,2010,15
Universidad de Almeria,2011,11
Universidad de Almeria,2012,13
Universidad de Almeria,2013,15
Universidad de Almeria,2014,16
Universidad de Almeria,2015,12
Universidad de Almeria,2016,11
Universidad de Almeria,2017,16
Universidad de Almeria,2018,18
Universidad de Almeria,2019,10
Universidad de Almeria,2020,4
Universidad de Almeria,2021,10
Universidad de Almeria,2022,17
Universidad de Almeria,2023,15
Universidad de Almeria,2024,17
Universidad de Almeria,2025,19
Universidad de Almeria,2026,11
Universidad Pablo de Olavide,2004,1
Universidad Pablo de Olavide,2005,2
Universidad Pablo de Olavide,2006,3
Universidad Pablo de Olavide,2007,3
Universidad Pablo de Olavide,2008,3
Universidad Pablo de Olavide,2009,8
Universidad Pablo de Olavide,2010,9
Universidad Pablo de Olavide,2011,6
Universidad Pablo de Olavide,2012,11
Universidad Pablo de Olavide,2013,14
Universidad Pablo de Olavide,2014,14
Universidad Pablo de Olavide,2015,9
Universidad Pablo de Olavide,2016,10
Universidad Pablo de Olavide,2017,7
Universidad Pablo de Olavide,2018,6
Universidad Pablo de Olavide,2019,4
Universidad Pablo de Olavide,2020,3
Universidad Pablo de Olavide,2021,4
Universidad Pablo de Olavide,2022,6
Universidad Pablo de Olavide,2023,6
Universidad Pablo de Olavide,2024,3
Universidad Pablo de Olavide,2025,5
Universidad Pablo de Olavide,2026,3
